job_id,company_id,name,skill_name
3690843087,6049228.0,,Accounting/Auditing
3690843087,6049228.0,,Finance
3691763971,,,Management
3691763971,,,Manufacturing
3691775263,2641066.0,,Management
3691775263,2641066.0,,Manufacturing
3691786992,82684341.0,,Health Care Provider
3691789797,82296828.0,,Management
3691789797,82296828.0,,Manufacturing
3691789919,,,Health Care Provider
3691792844,86746333.0,,Engineering
3691792844,86746333.0,,Information Technology
3691793575,718651.0,,Administrative
3691794313,,,Administrative
3691795305,4781041.0,,Health Care Provider
3691795389,,,Sales
3691795980,7573454.0,,Information Technology
3691796226,1434753.0,,Design
3691796226,1434753.0,,Art/Creative
3691796226,1434753.0,,Information Technology
3691797249,90844.0,,Education
3691797249,90844.0,,Training
3691797924,91459053.0,Uppfront,Engineering
3691797924,91459053.0,Uppfront,Information Technology
3691797973,145145.0,,Sales
3691797973,145145.0,,Business Development
3691797979,2899710.0,,Engineering
3691797979,2899710.0,,Information Technology
3691797980,20338460.0,,Project Management
3691797982,90633414.0,,Business Development
3691797982,90633414.0,,Consulting
3691797982,90633414.0,,Sales
3691798875,2902815.0,,Sales
3691798875,2902815.0,,Management
3691798875,2902815.0,,Strategy/Planning
3691798879,371180.0,,Health Care Provider
3691799449,88684.0,,Management
3691799449,88684.0,,Manufacturing
3691799471,69571610.0,Wella Company,Other
3691799471,69571610.0,Wella Company,Research
3691799472,3657.0,,Other
3691799474,62424.0,CONAM Management Corporation,Management
3691799474,62424.0,CONAM Management Corporation,General Business
3691799474,62424.0,CONAM Management Corporation,Administrative
3692300220,18630069.0,,Management
3692300220,18630069.0,,Manufacturing
3692300361,1387626.0,RPM Living,Marketing
3692300361,1387626.0,RPM Living,Sales
3692300361,1387626.0,RPM Living,Accounting/Auditing
3692300372,35602.0,,Strategy/Planning
3692300372,35602.0,,Management
3692300409,18872958.0,,Marketing
3692301009,89908682.0,,Administrative
3692301162,2502541.0,"PSR Associates, Inc.",Project Management
3692301162,2502541.0,"PSR Associates, Inc.",Information Technology
3692301162,2502541.0,"PSR Associates, Inc.",Consulting
3692301165,9516195.0,,Management
3692301165,9516195.0,,Manufacturing
3692301169,298409.0,Roth Staffing,Legal
3692301169,298409.0,Roth Staffing,Administrative
3692301171,298409.0,Roth Staffing,Administrative
3692301171,298409.0,Roth Staffing,Project Management
3692301171,298409.0,Roth Staffing,Business Development
3692302089,37768.0,"Milestone Technologies, Inc.",Information Technology
3692303023,7032083.0,Galaxy i technologies Inc,Information Technology
3692303024,33874.0,Lexington Medical Center,Health Care Provider
3692303025,8986045.0,"Enertech Wireline Services, L.P.",Management
3692303025,8986045.0,"Enertech Wireline Services, L.P.",Manufacturing
3696352735,81886402.0,CenterWell Home Health,Other
3696355954,34771768.0,,Accounting/Auditing
3696355954,34771768.0,,Finance
3696362362,3579761.0,Home Chef,Engineering
3696362362,3579761.0,Home Chef,Information Technology
3696368461,6979.0,Intertek,Project Management
3696368461,6979.0,Intertek,Sales
3696368461,6979.0,Intertek,Customer Service
3696369309,6979.0,Intertek,Quality Assurance
3696369309,6979.0,Intertek,Production
3696369309,6979.0,Intertek,Other
3696371262,6979.0,Intertek,Production
3696371262,6979.0,Intertek,Other
3696371262,6979.0,Intertek,Manufacturing
3696372105,6979.0,Intertek,Project Management
3696372105,6979.0,Intertek,Sales
3696372105,6979.0,Intertek,Customer Service
3696373506,79378951.0,,Accounting/Auditing
3696373506,79378951.0,,Finance
3696374362,26489605.0,,Accounting/Auditing
3696374362,26489605.0,,Finance
3696375254,9215353.0,,Health Care Provider
3696386986,81886402.0,CenterWell Home Health,Other
3696387979,81886402.0,CenterWell Home Health,Other
3696387993,76323347.0,CenterWell Senior Primary Care,Other
3696388859,76323347.0,CenterWell Senior Primary Care,Other
3696388875,76323347.0,CenterWell Senior Primary Care,Other
3696390474,81886402.0,CenterWell Home Health,Other
3696391387,81886402.0,CenterWell Home Health,Other
3696391398,76323347.0,CenterWell Senior Primary Care,Other
3696391403,81886402.0,CenterWell Home Health,Other
3696393067,81886402.0,CenterWell Home Health,Other
3696394296,3514329.0,,Other
3696394452,2999886.0,Talent Table,Information Technology
3696394454,8288.0,Leonardo DRS,Engineering
3696394465,2815.0,,Sales
3696394465,2815.0,,Business Development
