job_id,company_id,name,type
3690843087,6049228.0,,Medical insurance
3690843087,6049228.0,,Dental insurance
3690843087,6049228.0,,401(k)
3690843087,6049228.0,,Paid maternity leave
3690843087,6049228.0,,Disability insurance
3690843087,6049228.0,,Vision insurance
3691763971,,,Dental insurance
3691763971,,,Disability insurance
3691763971,,,401(k)
3691775263,2641066.0,,Medical insurance
3691775263,2641066.0,,Vision insurance
3691775263,2641066.0,,Dental insurance
3691775263,2641066.0,,401(k)
3691775263,2641066.0,,Tuition assistance
3691775263,2641066.0,,Disability insurance
3691792844,86746333.0,,Medical insurance
3691792844,86746333.0,,401(k)
3691792844,86746333.0,,Pension plan
3691792844,86746333.0,,Dental insurance
3691793575,718651.0,,Medical insurance
3691794313,,,Vision insurance
3691794313,,,401(k)
3691794313,,,Dental insurance
3691794313,,,Medical insurance
3691795389,,,Vision insurance
3691795389,,,401(k)
3691796226,1434753.0,,Medical insurance
3691796226,1434753.0,,Vision insurance
3691796226,1434753.0,,Dental insurance
3691796226,1434753.0,,401(k)
3691797979,2899710.0,,Medical insurance
3691799471,69571610.0,Wella Company,401(k)
3691799471,69571610.0,Wella Company,Medical insurance
3691799471,69571610.0,Wella Company,Disability insurance
3691799472,3657.0,,Medical insurance
3691799472,3657.0,,Vision insurance
3691799472,3657.0,,Dental insurance
3691799472,3657.0,,401(k)
3691799472,3657.0,,Paid maternity leave
3691799472,3657.0,,Paid paternity leave
3691799472,3657.0,,Tuition assistance
3691799472,3657.0,,Disability insurance
3692300220,18630069.0,,Medical insurance
3692300220,18630069.0,,Vision insurance
3692300220,18630069.0,,Dental insurance
3692300220,18630069.0,,401(k)
3692300372,35602.0,,401(k)
3692300372,35602.0,,Vision insurance
3692300409,18872958.0,,Medical insurance
3692300409,18872958.0,,Vision insurance
3692300409,18872958.0,,Dental insurance
3692300409,18872958.0,,401(k)
3692300409,18872958.0,,Paid maternity leave
3692300409,18872958.0,,Paid paternity leave
3692300409,18872958.0,,Tuition assistance
3692300409,18872958.0,,Disability insurance
3692301165,9516195.0,,Pension plan
3692301169,298409.0,Roth Staffing,Medical insurance
3692301169,298409.0,Roth Staffing,Vision insurance
3692301169,298409.0,Roth Staffing,Dental insurance
3692303024,33874.0,Lexington Medical Center,Medical insurance
3692303024,33874.0,Lexington Medical Center,Vision insurance
3692303024,33874.0,Lexington Medical Center,Dental insurance
3692303024,33874.0,Lexington Medical Center,401(k)
3696355954,34771768.0,,Medical insurance
3696355954,34771768.0,,Vision insurance
3696355954,34771768.0,,Dental insurance
3696355954,34771768.0,,401(k)
3696362362,3579761.0,Home Chef,Disability insurance
3696362362,3579761.0,Home Chef,401(k)
3696368461,6979.0,Intertek,401(k)
3696369309,6979.0,Intertek,401(k)
3696371262,6979.0,Intertek,401(k)
3696372105,6979.0,Intertek,401(k)
3696373506,79378951.0,,Medical insurance
3696373506,79378951.0,,401(k)
3696375254,9215353.0,,Medical insurance
3696375254,9215353.0,,Vision insurance
3696375254,9215353.0,,Dental insurance
3696375254,9215353.0,,Disability insurance
3696388859,76323347.0,CenterWell Senior Primary Care,Medical insurance
3696388859,76323347.0,CenterWell Senior Primary Care,401(k)
3696388859,76323347.0,CenterWell Senior Primary Care,Disability insurance
3696394454,8288.0,Leonardo DRS,401(k)
3696394454,8288.0,Leonardo DRS,Disability insurance
3696396357,40934666.0,Recruits Lab (We're hiring),Medical insurance
3696396357,40934666.0,Recruits Lab (We're hiring),Vision insurance
3696396357,40934666.0,Recruits Lab (We're hiring),Dental insurance
3696396357,40934666.0,Recruits Lab (We're hiring),401(k)
3696396361,8288.0,Leonardo DRS,401(k)
3696396361,8288.0,Leonardo DRS,Disability insurance
3699944307,1485063.0,,Medical insurance
3699944307,1485063.0,,Dental insurance
3699944307,1485063.0,,401(k)
3699944307,1485063.0,,Disability insurance
3699947010,,,Medical insurance
3699947010,,,Vision insurance
3699947010,,,Dental insurance
3699947010,,,401(k)
3699953637,19115854.0,,Medical insurance
3699953637,19115854.0,,Vision insurance
3699953637,19115854.0,,Dental insurance
3699953637,19115854.0,,401(k)
3699953637,19115854.0,,Pension plan
3699953637,19115854.0,,Disability insurance
3700106733,64734122.0,,Medical insurance
3700106733,64734122.0,,Vision insurance
3700106733,64734122.0,,Dental insurance
3700106733,64734122.0,,401(k)
3700111693,,,Medical insurance
3700111693,,,Vision insurance
3700111693,,,Dental insurance
3700111693,,,401(k)
3700111693,,,Paid paternity leave
3700111693,,,Paid maternity leave
3700124761,272676.0,,Medical insurance
3700124761,272676.0,,401(k)
3700124761,272676.0,,Dental insurance
3700124761,272676.0,,Vision insurance
3700124761,272676.0,,Disability insurance
3700138521,3079381.0,,Medical insurance
3700154162,22681.0,American Society of Clinical Oncology (ASCO),401(k)
3700154162,22681.0,American Society of Clinical Oncology (ASCO),Disability insurance
3690664476,301266.0,Tri-County Suburban REALTORS ,Medical insurance
3690664476,301266.0,Tri-County Suburban REALTORS ,Vision insurance
3690664476,301266.0,Tri-County Suburban REALTORS ,Dental insurance
3690664476,301266.0,Tri-County Suburban REALTORS ,401(k)
3690664476,301266.0,Tri-County Suburban REALTORS ,Disability insurance
3690665137,11001662.0,LD&D,Medical insurance
3690665137,11001662.0,LD&D,Vision insurance
3690665137,11001662.0,LD&D,Dental insurance
3690673180,,,Medical insurance
3690673180,,,Vision insurance
3690673180,,,Dental insurance
3690673180,,,401(k)
